"time","ax","ay","az","a_mag"
7.770320992E0,4.470390797E0,8.191229820E0,1.111645603E1,1.451400133E1
7.772865992E0,5.193621635E0,8.200801849E0,1.168116188E1,1.518803475E1
7.775410992E0,5.734997749E0,8.243872643E0,1.175773239E1,1.546272635E1
7.777955992E0,6.065207005E0,8.277371407E0,1.147537899E1,1.539434755E1
7.780501304E0,6.261418819E0,8.310871124E0,1.086221886E1,1.504206578E1
7.782994065E0,6.323632240E0,8.243872643E0,1.021137047E1,1.456783607E1
7.785533127E0,6.213562012E0,8.071588516E0,9.512067795E0,1.393694112E1
7.788072138E0,5.964708805E0,7.923233986E0,8.913862228E0,1.333462889E1
7.790611200E0,5.600401402E0,7.746165276E0,8.386843681E0,1.271639569E1
7.793150210E0,5.203192711E0,7.545167923E0,8.003992081E0,1.216826457E1
7.795689221E0,4.920839787E0,7.027719975E0,7.768897057E0,1.157407766E1
7.798228283E0,4.594817638E0,6.573083878E0,7.807780266E0,1.119281973E1
7.800767294E0,4.149752617E0,6.151348591E0,7.946564198E0,1.087232352E1
7.803307867E0,3.790829182E0,5.624927998E0,7.941778183E0,1.044423485E1
7.805846929E0,3.527020693E0,5.179264545E0,7.946564198E0,1.011990804E1
7.808386044E0,3.297309637E0,4.738985062E0,8.047062874E0,9.903809931E0
7.810925106E0,3.091526747E0,4.302893162E0,8.367700577E0,9.904081993E0
7.813464169E0,2.876172781E0,3.905684710E0,8.693124771E0,9.954755708E0
7.816003231E0,2.756531715E0,3.541975737E0,9.019146919E0,1.007417840E1
7.818542294E0,2.612962246E0,3.139383316E0,9.301499367E0,1.015879864E1
7.821081408E0,2.540579557E0,2.737389088E0,9.588638306E0,1.029027833E1
7.823551408E0,2.535793781E0,2.378465652E0,1.000080204E1,1.058788886E1
7.826021408E0,2.397010088E0,2.152942181E0,1.030708313E1,1.079892495E1
7.828491408E0,2.234298229E0,1.975873351E0,1.068514919E1,1.109362778E1
7.830961408E0,2.133799553E0,1.794018745E0,1.101595688E1,1.136322620E1
7.833431408E0,1.961516380E0,1.679163337E0,1.120738316E1,1.150098140E1
7.835901408E0,1.779661894E0,1.578664780E0,1.129831028E1,1.154604669E1
7.838371408E0,1.573879123E0,1.459023595E0,1.140359497E1,1.160378488E1
7.840841617E0,1.386640668E0,1.344168067E0,1.166680527E1,1.182556152E1
7.843386617E0,1.185643673E0,1.247856975E0,1.196889877E1,1.209204018E1
7.845931617E0,8.650053740E-1,1.094716311E0,1.242832088E1,1.250639029E1
7.848476617E0,6.161518097E-1,9.942178130E-1,1.294995594E1,1.300267169E1
7.851021617E0,5.539384484E-1,9.798609018E-1,1.354876041E1,1.359543614E1
7.853566617E0,3.954139352E-1,8.937192559E-1,1.407099342E1,1.410489072E1
7.856111617E0,2.422732860E-1,7.788637877E-1,1.438206005E1,1.440517186E1
7.858656617E0,8.913264424E-2,7.070791125E-1,1.447298813E1,1.449052418E1
7.861201617E0,-5.443671346E-2,6.879364848E-1,1.417627811E1,1.419306454E1
7.863746617E0,-2.362912297E-1,6.975077987E-1,1.372104359E1,1.374079284E1
7.866291617E0,-4.660021961E-1,7.740781307E-1,1.317547989E1,1.320642364E1
7.868836617E0,-6.628118753E-1,7.980063558E-1,1.274417305E1,1.278632396E1
7.871381617E0,-6.101697683E-1,9.655039310E-1,1.231825066E1,1.237108743E1
7.873926617E0,-5.623133183E-1,1.176072359E0,1.203589821E1,1.210628713E1
7.876471617E0,-5.766702294E-1,1.271785259E0,1.174816132E1,1.183086136E1
7.879016617E0,-4.660021961E-1,1.315454245E0,1.151844978E1,1.160268345E1
7.881561617E0,-3.032902777E-1,1.305882931E0,1.122173977E1,1.130153789E1
7.884106617E0,-4.965107143E-2,1.271785259E0,1.099681473E1,1.107022299E1
7.886651617E0,2.231307179E-1,1.243071318E0,1.075214863E1,1.082606640E1
7.889196617E0,4.528416991E-1,1.161715388E0,1.064207840E1,1.071487195E1
7.891741617E0,7.214360237E-1,9.655039310E-1,1.053679466E1,1.060550374E1
7.894286617E0,1.300499082E0,9.511470199E-1,1.044108200E1,1.056466620E1
7.896831617E0,1.698305845E0,8.650053740E-1,1.027358437E1,1.044887615E1
7.899376617E0,1.980658889E0,7.022934556E-1,1.009172916E1,1.030821145E1
7.901921617E0,2.325225353E0,5.730810165E-1,9.919445992E0,1.020443549E1
7.904466617E0,2.564507723E0,4.103690982E-1,9.555138588E0,9.901806708E0
7.907011617E0,2.823530674E0,1.704886109E-1,9.134002686E0,9.561976621E0
7.909556617E0,3.019742250E0,-6.580262445E-3,8.750552177E0,9.256946039E0
7.912101617E0,3.187239647E0,-1.549352705E-1,8.578269005E0,9.152551591E0
7.914646617E0,3.278167009E0,-3.320041299E-1,8.477770805E0,9.095559549E0
7.917191617E0,3.469592810E0,-5.138586760E-1,8.650053978E0,9.334107286E0
7.919736617E0,3.522234917E0,-6.717849374E-1,8.837292671E0,9.537042286E0
7.922281617E0,3.527020693E0,-8.925228715E-1,8.966505051E0,9.676501685E0
7.924826617E0,3.550948858E0,-1.136590719E0,9.043074608E0,9.781527213E0
7.927371617E0,3.488735437E0,-1.337587833E0,9.033503532E0,9.775714922E0
7.929916617E0,3.402593851E0,-1.514656782E0,9.076574326E0,9.811015828E0
7.932461617E0,3.388236761E0,-1.749153376E0,9.095717430E0,9.862644749E0
7.935006617E0,3.306880951E0,-1.998605132E0,9.119645119E0,9.904433916E0
7.937551617E0,3.215953588E0,-2.252244234E0,8.923434258E0,9.748981512E0
7.940096617E0,3.077169895E0,-2.496312141E0,8.511270523E0,9.388411729E0
7.942641617E0,2.890529871E0,-2.721237659E0,8.080561638E0,9.003098007E0
7.945186617E0,2.703889608E0,-2.965903759E0,7.740182877E0,8.718832209E0
7.947731617E0,2.526222467E0,-3.219542980E0,7.433901787E0,8.485879609E0
7.950276617E0,2.325225353E0,-3.487539053E0,7.194619656E0,8.326593156E0
7.952821617E0,2.124228239E0,-3.702893019E0,6.979265213E0,8.181314395E0
7.955366617E0,1.951945066E0,-3.937987804E0,6.768697262E0,8.070508045E0
7.957911617E0,1.784447432E0,-4.191627026E0,6.437889099E0,7.886723389E0
7.960456617E0,1.626521230E0,-4.406980991E0,6.126822472E0,7.720427862E0
